# LGT WIPI-C module (table 0x1fb) export ids
# Recovered from liblgt_system.so '_export_table_wipic' [id, function, name].
# Id == the (0x1fb, id) import slot. Authoritative ABI mapping.

0x0469	LGTC_termResGetMultiSize
0x046a	LGTC_termResPartialWrite
0x046b	LGTC_termResPartialRead
0x046c	LGTC_termResGetCountEx
0x046d	LGTC_termResMultiSearch
0x04b0	MC_mdaClipCreate
0x04b1	MC_mdaClipFree
0x04b2	MC_mdaClipGetType
0x04b3	MC_mdaClipPutData
0x04b4	MC_mdaClipGetData
0x04b5	MC_mdaClipAvailableDataSize
0x04b6	MC_mdaClipClearData
0x04b7	MC_mdaClipSetPosition
0x04b8	MC_mdaClipGetVolume
0x04b9	MC_mdaClipSetVolume
0x04ba	MC_mdaPlay
0x04bb	MC_mdaPause
0x04bc	MC_mdaResume
0x04bd	MC_mdaStop
0x04be	MC_mdaRecord
0x04bf	MC_mdaGetVolume
0x04c0	MC_mdaSetVolume
0x04c1	MC_mdaVibrator
0x04c2	MC_mdaSetWaterMark
0x04c3	MC_mdaClipPutToneData
0x04c4	MC_mdaClipPutFreqToneData
0x04c5	MC_mdaClipAllocPlayer
0x04c6	MC_mdaClipFreePlayer
0x04c7	MC_mdaClipGetInfo
0x04c8	MC_mdaGetInfo
0x04c9	MC_mdaClipDevControl
0x04ca	MC_mdaClipControl
0x04cb	MC_mdaClipGetModeList
0x04cc	MC_mdaClipModeControl
0x04cd	MC_mdaSetDefaultVolume
0x04ce	MC_mdaGetDefaultVolume
0x04cf	MC_mdaSetDefaultVolumeCategoryID
0x04d0	MC_mdaGetDefaultVolumeCategoryID
0x04d1	MC_mdaSetMuteState
0x04d2	MC_mdaGetMuteState
0x04d3	MC_mdaEnableOEMDisplayArea
0x04d4	MC_mdaDisableOEMDisplayArea
0x04d5	MC_mdaSetRecordSource
0x0514	MC_phnCallPlace
0x0515	LGTC_phnCallPlaceNew
0x0516	LGTC_phnCallPlaceNewEx
0x0546	MC_smsSend
0x0547	MC_smsGetMaxMsgLength
0x0548	MC_phnSmsSend
0x0549	MC_phnSmsGetMaxMsgLength
0x054a	LGTC_smsRegisterTid
0x054b	LGTC_smsGetDirect
0x054c	LGTC_smsSetStateDirect
0x054d	LGTC_phnSmsSendEx
0x054e	LGTC_phnSmsSendCancel
0x0578	MC_miscBackLight
0x0579	MC_miscGetLed
0x057a	MC_miscSetLed
0x057b	MC_miscGetLedSupportColor
0x057c	MC_miscGetLedCount
0x057d	MC_miscGetLedColor
0x057e	MC_miscSetLedColor
0x057f	MC_miscLedControl
0x0580	LGTC_miscGetFlip
0x0581	LGTC_miscOEMTouchEffect
0x05dc	MC_mathSin100
0x05dd	MC_mathCos100
0x05de	MC_mathTan100
0x05df	MC_mathArcSin100
0x05e0	MC_mathArcCos100
0x05e1	MC_mathArcTan100
0x05e2	MC_mathAbs
0x05e3	MC_mathMaxN
0x05e4	MC_mathMinN
0x05e5	MC_mathCheck
0x05e6	MC_mathRand
0x05e7	MC_mathSrand
0x0640	MC_imeSymbolOpen
0x0641	MC_imeSymbolClose
0x0642	MC_imeSymbolPaint
0x0643	MC_imeSymbolKeyProcess
0x0644	MC_imeSymbolGetChar
0x0645	MC_imeSymbolGetImageProperty
0x06a4	MC_sysExecute
0x06a5	MC_sysRegisterAsReload
